,party,vote,item,variable,value
98,PP,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,30
99,PP,vote.6371,Eleições municipais e gerais em um único ano,Sim,24
100,PP,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,32
101,PP,vote.6373,idade mínima de 18 anos,Sim,26
102,PP,vote.6374,Redução da idade mínima para 29 anos,Sim,28
103,PP,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,27
104,PP,vote.6377,Cotas para mulheres no legislativo,Sim,17
105,PP,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,32
106,PP,vote.6379,Federação partidária,Sim,3
107,PP,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,3
108,PP,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
109,PP,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,33
110,PP,vote.6384,Janela de 30 dias para migração entre partidos,Sim,23
111,PP,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,7
112,PP,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
113,PR,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,0
114,PSD,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,0
115,PR,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,1
116,PSD,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,0
117,PR,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,0
118,PSD,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,13
119,PR,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,27
120,PSD,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,26
121,PR,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,3
122,PSD,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,2
123,PR,vote.6357,Financiamento exclusivamente público,Sim,2
124,PSD,vote.6357,Financiamento exclusivamente público,Sim,1
125,PR,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,27
126,PSD,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,29
127,PR,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,30
128,PSD,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,30
129,PR,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
130,PSD,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
131,PR,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,1
132,PSD,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,23
133,PR,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,30
134,PSD,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,26
135,PR,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,0
136,PSD,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,8
137,PR,vote.6369,Voto facultativo para todas as eleições,Sim,2
138,PSD,vote.6369,Voto facultativo para todas as eleições,Sim,10
139,PR,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,29
140,PSD,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,27
141,PR,vote.6371,Eleições municipais e gerais em um único ano,Sim,19
142,PSD,vote.6371,Eleições municipais e gerais em um único ano,Sim,16
143,PR,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,23
144,PSD,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,29
145,PR,vote.6373,idade mínima de 18 anos,Sim,24
146,PSD,vote.6373,idade mínima de 18 anos,Sim,22
147,PR,vote.6374,Redução da idade mínima para 29 anos,Sim,20
148,PSD,vote.6374,Redução da idade mínima para 29 anos,Sim,31
149,PR,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,25
150,PSD,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,28
151,PR,vote.6377,Cotas para mulheres no legislativo,Sim,16
152,PSD,vote.6377,Cotas para mulheres no legislativo,Sim,15
153,PR,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,32
154,PSD,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,32
155,PR,vote.6379,Federação partidária,Sim,4
156,PSD,vote.6379,Federação partidária,Sim,20
157,PR,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,0
158,PSD,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,0
159,PR,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
160,PSD,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
161,PR,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,30
162,PSD,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,30
163,PR,vote.6384,Janela de 30 dias para migração entre partidos,Sim,31
164,PSD,vote.6384,Janela de 30 dias para migração entre partidos,Sim,11
165,PR,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,2
166,PSD,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,21
167,PR,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,1
168,PSD,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,1
169,PSB,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,1
170,PSB,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,0
171,PSB,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,5
172,PSB,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,16
173,PSB,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,20
174,PSB,vote.6357,Financiamento exclusivamente público,Sim,5
175,PSB,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,16
176,PSB,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,29
177,PSB,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
178,PSB,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,25
179,PSB,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,12
180,PSB,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,7
181,PSB,vote.6369,Voto facultativo para todas as eleições,Sim,3
182,PSB,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,29
183,PSB,vote.6371,Eleições municipais e gerais em um único ano,Sim,24
184,PSB,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,29
185,PSB,vote.6373,idade mínima de 18 anos,Sim,22
186,PSB,vote.6374,Redução da idade mínima para 29 anos,Sim,23
187,PSB,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,26
188,PSB,vote.6377,Cotas para mulheres no legislativo,Sim,22
189,PSB,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,29
190,PSB,vote.6379,Federação partidária,Sim,2
191,PSB,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,10
192,PSB,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
193,PSB,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,27
194,PSB,vote.6384,Janela de 30 dias para migração entre partidos,Sim,13
195,PSB,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,3
196,PSB,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
197,PTB,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,0
198,PTB,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,3
199,PTB,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,21
200,PTB,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,23
201,PTB,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,0
202,PTB,vote.6357,Financiamento exclusivamente público,Sim,0
203,PTB,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,24
204,PTB,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,21
205,PTB,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
206,PTB,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,5
207,PTB,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,19
208,PTB,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,12
209,PTB,vote.6369,Voto facultativo para todas as eleições,Sim,6
210,PTB,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,14
211,PTB,vote.6371,Eleições municipais e gerais em um único ano,Sim,15
212,PTB,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,19
213,PTB,vote.6373,idade mínima de 18 anos,Sim,16
214,PTB,vote.6374,Redução da idade mínima para 29 anos,Sim,17
215,PTB,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,18
216,PTB,vote.6377,Cotas para mulheres no legislativo,Sim,12
217,PTB,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,21
218,PTB,vote.6379,Federação partidária,Sim,2
219,PTB,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,1
220,PTB,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
221,PTB,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,21
222,PTB,vote.6384,Janela de 30 dias para migração entre partidos,Sim,24
223,PTB,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,1
224,PTB,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
225,DEM,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,1
226,DEM,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,9
227,DEM,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,15
228,DEM,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,14
229,DEM,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,0
230,DEM,vote.6357,Financiamento exclusivamente público,Sim,0
231,DEM,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,20
232,DEM,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,15
233,DEM,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
234,DEM,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,11
235,DEM,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,17
236,DEM,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,10
237,DEM,vote.6369,Voto facultativo para todas as eleições,Sim,20
238,DEM,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,5
239,DEM,vote.6371,Eleições municipais e gerais em um único ano,Sim,8
240,DEM,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,17
241,DEM,vote.6373,idade mínima de 18 anos,Sim,12
242,DEM,vote.6374,Redução da idade mínima para 29 anos,Sim,14
243,DEM,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,18
244,DEM,vote.6377,Cotas para mulheres no legislativo,Sim,7
245,DEM,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,19
246,DEM,vote.6379,Federação partidária,Sim,13
247,DEM,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,1
248,DEM,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
249,DEM,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,13
250,DEM,vote.6384,Janela de 30 dias para migração entre partidos,Sim,11
251,DEM,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,6
252,DEM,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,1
253,PRB,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,0
254,PRB,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,0
255,PRB,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,0
256,PRB,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,2
257,PRB,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,0
258,PRB,vote.6357,Financiamento exclusivamente público,Sim,0
259,PRB,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,20
260,PRB,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,20
261,PRB,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
262,PRB,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,1
263,PRB,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,19
264,PRB,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,0
265,PRB,vote.6369,Voto facultativo para todas as eleições,Sim,3
266,PRB,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,5
267,PRB,vote.6371,Eleições municipais e gerais em um único ano,Sim,3
268,PRB,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,17
269,PRB,vote.6373,idade mínima de 18 anos,Sim,9
270,PRB,vote.6374,Redução da idade mínima para 29 anos,Sim,12
271,PRB,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,16
272,PRB,vote.6377,Cotas para mulheres no legislativo,Sim,8
273,PRB,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,17
274,PRB,vote.6379,Federação partidária,Sim,0
275,PRB,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,0
276,PRB,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
277,PRB,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,17
278,PRB,vote.6384,Janela de 30 dias para migração entre partidos,Sim,16
279,PRB,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,3
280,PRB,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
281,PDT,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,0
282,PDT,vote.6351,Distrital Misto: metade dos deputados e vereadores e vereadores eleitos por lista e outra metade seria os mais votados em cada distrito,Sim,0
283,PDT,vote.6352,Distritão: elege os deputados mais votados nos estados e os vereadores mais votados nos municípios,Sim,0
284,PDT,vote.6354,Financiamento público e doação de empresas e pessoas físicas a candidatos e partidos,Sim,1
285,PDT,vote.6356,Financiamento público e doações apenas de pessoas físicas,Sim,17
286,PDT,vote.6357,Financiamento exclusivamente público,Sim,10
287,PDT,vote.6358,Financiamento público e doações de empresas e pessoas físicas a partidos e pessoas físicas a candidatos,Sim,2
288,PDT,vote.6359,"Fim da reeleição para governadores, prefeitos e presidente da República",Sim,16
289,PDT,vote.6360,"Mandato de 5 anos para deputados, prefeitos e governadores, com início em primeiro de janeiro",Sim,0
290,PDT,vote.6362,Proíbe as coligações para eleições proporcionais: deputados e vereadores,Sim,10
291,PDT,vote.6363,Limita o acesso ao fundo e ao tempo de TV a partidos com representação,Sim,13
292,PDT,vote.6368,PEC apensada  alistamento eleitoral e voto facultativo,Sim,1
293,PDT,vote.6369,Voto facultativo para todas as eleições,Sim,2
294,PDT,vote.6370,"Mandato de 5 anos para todos os cargos, inclusive senador, a partir de 2020 e regras de transição",Sim,14
295,PDT,vote.6371,Eleições municipais e gerais em um único ano,Sim,13
296,PDT,vote.6372,Mandato de 4 anos para prefeitos e vereadores eleitos em 2016,Sim,16
297,PDT,vote.6373,idade mínima de 18 anos,Sim,14
298,PDT,vote.6374,Redução da idade mínima para 29 anos,Sim,6
299,PDT,vote.6375,4 de janeiro para governadores e 5 para presidente,Sim,14
300,PDT,vote.6377,Cotas para mulheres no legislativo,Sim,16
301,PDT,vote.6378,"Voto impresso, fidelidade partidária, iniciativa popular e mandatos das mesas",Sim,19
302,PDT,vote.6379,Federação partidária,Sim,0
303,PDT,vote.6380,"Perda de mandato de deputado ou senador que assumir cargo de ministro de Estado, secretário ou chefe de missão diplomática",Sim,1
304,PDT,vote.6381,Senador vitalício e voto em trânsito para todos os cargos,Sim,0
305,PDT,vote.6382,Permite policial militar ou bombeiro retornar a suas funções se não for reeleito,Sim,19
306,PDT,vote.6384,Janela de 30 dias para migração entre partidos,Sim,17
307,PDT,vote.6385,Obriga os candidatos a registrarem suas propostas na Justiça Eleitoral,Sim,1
308,PDT,vote.6386,"Permite ao candidato disputar, simultaneamente, eleições majoritárias e proporcionais",Sim,0
309,Solidarie,vote.6350,Lista fechada: deputados e vereadores eleitos por lista definida pelo partido,Sim,1
